2287-1624,1226-0983	Korean Journal of Community Nutrition	The Korean Society of Community Nutrition (KAMJE)
1226-1270	JOURNAL OF ASIAN HISTORICAL STUDIES	The Society of Asian Historical Studies
1226-1289	Journal of The Korean Society of Living Environmental System	The Korean Society of Living Environmental System
1226-1386	BUL GYO HAK BO	Institute for Buddhist Culture
2093-7849,1226-1513	Journal of the Korean Society of Neonatology	The Korean Society of Neonatology (KAMJE)
2234-408X,1226-1688	Korean Journal of Child Studies	Korean Association of Child Studies
2384-0544,1226-1726	Exercise Science	Korean Society of Exercise Physiology
2233-6656,1226-1750	Journal of Magnetics	The Korean Magnetics Society
2233-9108,1226-1769	Journal of Genetic Medicine	Korean Society of Medical Genetics
2233-985X,1226-1815	Journal of Korean Academy of Child Health Nursing	Korean Academy of Child Health Nursing
1226-1874	korean management review	Korean Academic Society of Business Administration
1226-1920	Korean Society for the Sociology of Sport	Korean Society For The Sociology Of Sport
1226-2226	Korean Journal of Sport Biomechanics	Korean Society of Sport Biomechanics
2465-8839,1226-2234	The Korean Academic Association of Business Administration	Korean Academic Association of Business Administration
1226-2242	Journal of Korean Society of Pediatric Endocrinology	Korean Society of Pediatric Endocrinology
1226-2250	Comparative Korean Studies	The International Association of Comparative Korean Studies
1226-2277	Journal of ILASS-Korea	Institute for Liquid Atomization and Spray Systems - Korea
1226-2382	Korean Journal of Nosocomial Infection Control	Korean Society for Nosocomial Infection Control (KAMJE)
1226-2471	The Journal of the Petrological Society of Korea	Petrological Society of Korea
1226-2498	Journal of Vocational Rehabilitation	Korean Society of Vocational Rehabilitation
1226-2501	International Journal of Tourism Management and Sciences	Korea Academic Society of Tourism Management
1226-2536	Korean Public Administration Review	Korean Association for Public Administration
1226-2552	Journal of Japanese Language and Literature	The Japanese Language and Literature Association of Korea
2093-0569,1226-2579	The Korean Journal of Pain	Korean Pain Society (KAMJE)
1226-2587	Journal of the Society of Cosmetic Scientists of Korea	Society of Cosmetic Scientists of Korea
1226-2625	Koreanische Zeitschrift fuer Wirtschaftswissenschaften	Korean-German Academy of Economics and Management
1226-2668	Shakespeare Review	The Shakespeare Association of Korea
1226-2676	Korean Association for Housing Policy Studies	Korean Association for Housing Policy Studies
1226-2722	The Korean Society for Child Education	The Korea Society for Child Education (KSCE)
2384-1168,1226-2854	Journal of Radiological Science and Technology	Korean Society of Radiological Science
1226-2943	CHINESE LITERATURE	The Society for Chinese Language and Literature
1226-301X	The Journal of Law of Education	The Korea Society for Educational Law
1226-3133	The Journal of Korean Institute of Electromagnetic Engineering and Science	Korean Institute of Electromagnetic Engineering and Science
1226-3206	Studies in Modern Grammar	Society of Modern Grammar
2288-5978,1226-3311	Journal of the Korean Society of Food Science and Nutrition	The Korean Society of Food Science and Nutrition
1226-332X	Journal of Food Science and Nutrition	The Korean Society of Food Science and Nutrition
1226-3346	korea-german academy of economics and manegement	Korean-German Academy of Economics and Management
1226-3362	Commercial Law Review	Korean Commercial Law Association
1226-3451	Studies in English Education	Global English Teachers Association
1226-3516	Studies in Religion(The Journal of the Korean Association for the History of Religions)	Korean Association for Religious Studies
1226-3524	Journal of the Chungcheng Mathematical Society	Chungcheong Mathematical Society
1226-3605	Journal of Japanese Culture	The Japanese Culture Association of Korea
2287-4054,1226-363X	Journal of Korean Society of Steel Construction	Korean Society of Steel Construction
1226-3699	JOURNAL OF ARBITRATION STUDIES	Korean Association for Arbitration Studies
2288-6028,1226-3729	The Korean Journal of Sports Medicine	The Korean Society of Sports Medicine (KAMJE)
1226-3850	The Research of the Korean Classic	The Research of the Korean Classic
2288-9027,1226-3907	Natural Product Sciences	The Korean Society of Pharmacognosy (KAMJE)
1226-3923	Pediatric Infection and Vaccine	The Korean Society of Pediatric Infectious Diseases
1226-3931	The Journal of Society for e-Business Studies	Society for e-Business Studies
1226-4067	Korean Journal of Cognitive Science	The Korean Society for Cognitive Science
1226-4075	Journal of Sasang Constitutional Medicine	The Society  of Sasang Constitutional Medicine
1226-4296	JOURNAL OF THE KOREAN GEOMORPHOLOGICAL ASSOCIATION	Korean Geomorphological Association
1226-4326	Journal of Korean Society of Occupational and Environmental Hygiene	Korean Industrial Hygiene Association
1226-4350	Études de Langue et Littérature Françaises	The French Language and Literature Association of Korea
2234-7631,1226-4407	The Korean Journal of Obesity	Korean Society for the Study of Obesity
1226-444X	Hankuk University of Foreign Studies Literature Studies	Hankuk University of Foreign Studies Literature Studies
1226-4474,1226-4474	The Korean Journal of the Human Development	The Korean Association of Human Development
1226-4555	Journal of Chinese Language and Literature	Chinese Literary Society
1226-4571	CHUNGGUKSA YONGU (The Journal of Chinese Historical Researches)	The Society for Chinese Historical Researches
1226-461X	The Korea Association of Primary English Education	The Korea Association of Primary English Education
2384-1427,1226-4628	Foreign Languages Education	The Korea Association of Foreign Languages Education
2384-440X,1226-4652	JOURNAL OF THE KOREAN SOCIETY OF MATERNAL AND CHILD HEALTH	The Korean Society of Maternal and Child Health
1226-4660	The Japanese Language and Literature Association of Daehan	The Japanese Language and Literature Society of Korea
2465-8278,1226-4709	Korean Journal of Medical Mycology	Korean Society for Medical Mycology
2287-3880,1226-4717	The Journal of Korean Institute of Communications and Information Sciences	Korea Information and Communications Society
2288-1247,1226-4768	Food Engineering Progress	Korean Society for Food Engineering
1226-4822	The Sociolinguistic Journal of Korea	The Sociolinguistic Society of Korea
2288-5226,1226-4873	Transactions of the Korean Society of Mechanical Engineers A	The Korean Society of Mechanical Engineers
2288-5234,1226-4881	Transactions of the Korean Society of Mechanical Engineers B	The Korean Society of Mechanical Engineers
1226-4938,1226-4938	journal of east-west nursing research	East-West Nursing Research Institute
2288-5412,1226-4946	The Yeats Journal of Korea	The Yeats Society of Korea
2233-9841,1226-4962	The Journal of the Korean Bone and Joint Tumor Society	Korean Bone and Joint Tumor Society (KAMJE)
1226-4997	Korea Business Review	Korean Academic Society of Business Administration
1226-5012	Journal of Korean Ophthalmic Optics Society	The Korean Opthalmic Optics Society
1226-5063	Journal of adapted physical activity and exercise	Korean Society of Adapted Physical Activity and Exercise
1226-5128	Societe d Etudes Franco-Coreennes	Societe d'Etudes Franco-Coreennes
1226-5187	Journal of The Korean Association For Science Education	The Korean Association for Science Education
2234-1099,1226-525X	Journal of the Earthquake Engineering Society of Korea	Earthquake Engineering Society of Korean
1226-5268	The Journal of Engineering Geology	The Korea Society of Engineering Gelology
2234-4209,1226-5292	Journal of the Korean Society of Pediatric Nephrology	Korean Society of Pediatric Nephrology
1226-5314	Theological Forum	Theological Forum
1226-5691	Discourse and Cognition	The Discourse and Cognitive Linguistics Society of Korea
1226-5713	Korean Council For Children S Rights	The Korean Council for Children's Rights
1226-5810	Journal of international area studies	"Center for International Area Studies, HFUS"
2288-9620,1226-5829	Progress in Medical Physics	Korean Society of Medcial Physics (KAMJE)
1226-587X	Journal of speech-language & hearing disorders	Korean Speech-Language and Hearing
1226-6019	Kugyol Studies	The Society for Kugyol Studies
1226-6027	Journal of the Korean Society of Propulsion Engineers	The Korean Society of Propulsion Engineers
2508-786X,1226-6051	Korean Journal of Clinical Pharmacy	The Korean College of Clinical Pharmacy
1226-6191	Research in Mathematical Education	Korea Society of Mathematical Education
2287-6138,1226-6280	Journal of Korea Water Resources Association	Korea Water Resources Association
1226-6396	Journal of Oriental Neuropsychiatry	The Korean Society of Oriental Neuropsychiatry
1226-6450	Journal of Korea Society of Color Studies	Korea Society of Color Studies
1226-6531	Journal of the Korean Magnetic Resonance Society	Korean Magnetic Resonance Society
1226-654X	Ordo Economics Journal	Korean Ordo Economics Association
1226-6566	English Language Teaching	Pan-Korea English Teachers Association
1226-6582	ALTAI HAKPO	The Altaic Society of Korea
1226-6604	The Art History Journal	The Korea Society of Buddhist Art History
1226-6612	Democratic Legal Studies	Democratic Legal Studies Association
1226-6663	Communications of Mathematical Education	Korea Society of Mathematical Education
1226-668X	DONG-BANG KOREAN CHINESE LIEARATURE	Dong-Bang Korean Chinese Language Society
1226-6728	THE DONG BANG HAK CHI	Institute of Korean Studies
2586-2146,1226-6736	KOREAN EDUCATION	The Association of Korean Education
2287-7967,1226-6752	Development & Reproduction	Korean Society of Developmental Biology
2466-0698,1226-6809	Correction Review	Korean Society for Correction Service
1226-685X	Korean Journal of Sport Psychology	Korean Society of Sport Psychology
1226-6914	Education of Primary School Mathematics	Korea Society of Mathematical Education
1226-6973	East Asian Mathematical Journal	The Busan Gyeongnam Mathematical Society
1226-7007	CHUL HAK SA SANG - Journal of Philosophical Ideas	Institute for Philosophy
1226-7031	International Area Review	SAGE Publications
1226-7066	Society of Preventive Korean Medicine	Society of Preventative Korean Medicine
1226-7112	Journal of Local Government Studis	Korean Association for Local Government Studies
1226-7139	Urimal	The Korean Linguistic Association
2383-9171,1226-7147	Journal of Korea Planning Association	Korea Planners Association
1226-7198	Korean Semantics	The Society of Korean Semantics
1226-7244	Journal of IKEEE	Institute of Korean Electrical and Electronics Engineers
1226-7341	The Society Of Korean Language And Literature	Society of Korean Language and Literature
1226-7414	Journal of Korean Society for Marine Environmental Engineering	The Korean Society for Marine Environment and Energy
2383-7624,1226-7503	Psychoanalysis	The Korean Association of Psychoanalysis
1226-7546	Journal of Social Science	Research Institute of Social Science
1226-7562	Journal of Koreanology	Korean Studies Institute
1226-7813	Journal of the Korea Society For Power System Engineering	The Korea Society for Power System Engineering
1226-7910	THE STUDY OF THE EASTERN CLASSIC	The Study of the Eastern Classic
1226-7945	Journal of the Korean Institute of Electrical and Electronic Material Engineers	The Korean Institute of Electrical and Electronic Material Engineers
1226-7953	Journal of Broadcast Engineering	The Korean Institute of Broadcast and Media Engineers
1226-8038	The Journal of Pediatrics of Korean Medicine	The Association of Korean Oriental Pediatrics
2288-2987,1226-8046	Archives of Design Research	Korea Society of Design Science
1226-8054	Journal of Tourism Studies	"Institute of Tourism Research, Hanyang University"
1226-8070	The Journal of the Korean Rheumatism Association	The Korean Rheumatism Association (KAMJE)
1226-8119	Korea open association for early childhood education	Korean Open Association for Early Childhood Education
1226-8240	Asian International Studies Review	International Studies Review
1226-833X	Journal of the Korean Society of Industry Convergence	The Korean Society of Industrial Convergence
1226-8402	Journal of the Korean Institute of Gas	The Korean Institute of Gas
1226-8437	Journal of Strategic Management	Korean Society of Strategic Management
1226-8445	Korean Journal of Legal Philosophy	Korean Association of Legal Philosophy
2288-3819,1226-8496	THE JOURNAL OF THE KOREAN ACADEMY OF PEDTATRIC DENTISTRY	Korean Academy of Pediatric Dentistry
2383-613X,1226-8593	Korean Society for Emotion and Sensibility	Korean Society for Emotion and Sensibility
1226-8658	Journal of Korean Practical Arts Education	The Society of Korean Practical Arts Education
1226-8682	Studies in English Language & Literature	The Association of English Language and Literature in Korea
1226-8690	Studies in Phonetics Phonology and Morphology	The Phonology-Morphology Circle of Korea
1226-8704	The Journal of Korean Society of Menopause	The Korean Society of Menopause (KAMJE)
1226-8747	Korean Journal of Hospitality & Tourism	Korean Hospitality and Tourism Academy
1226-8763	Korean Journal of Horticultural Science and Technology	Korean Society of Horticultural Science
1226-8798	Journal of Classic and English Renaissance Literature	The Classic and English Renaissance Literature Association of Korea
1226-8879	Yonsei Law Review	"Institute for Legal Studies, Yonsei University"
1226-8925	Nammyonghak Studies	The Nammyonghak Studies Institute
1226-895X	The Journal of Contemporary European Studies	The Korean Society of Contemporary European Studies
1226-8968	Journal of the Economic Geographical Society of Korea	The Economic Geographical Society of Korea
1226-900X	The Korean Journal of Dance Studies	Korean Society for Dance Studies
1226-9026	The Journal of Advanced Navigation Technology	The Korea Navigation Institute
1226-9093	Journal of the architectural institute of Korea planning & design	Architectural Institute of Korea
1226-9107	Journal of the Architectural Institute of Korea Structure and Construction	Architectural Institute of Korea
1226-9123	Korean Linguistics	The Association for Korean Linguistics
1226-9131	Dongnam Journal of Korean Language and Literature	Dongnam Journal of Korean Language and Literature
1226-9174	The Journal of Internal Korean Medicine	The Society of Internal Korean Medicine
2383-9694,1226-9263	Journal of Channel and Retailing	Korea Distribution Association
1226-9301	Journal of the society of Japanese Language and Literature Japanology	"The Society of Japanese Language and Literature, Japanology Korea"
1226-931X	Journal for History of Mathematics	The Korean Society for History of Mathematics
2166-3394,1226-9328	Geosystem Engineering	Informa UK (Taylor & Francis)
2383-6881,1226-9336	The Korean Journal of Blood Transfusion	The Korean Society of Blood Transfusion
1226-9344	Clinics in Shoulder and Elbow	Korean Shoulder and Elbow Society
1226-9360	Journal of the Microelectronics and Packaging Society	The Korean Microelectronics and Packaging Society
1226-9409	The Journal of the Korean Hip Society	The Korean Hip Society (KAMJE)
1226-9492	Journal of the Korean Urban Geographical Society	Journal of the Korean Urban Geographical Society
2234-8352,1226-9549	Journal of the Korean Society of Marine Engineering	Korean Society of Marine Engineers
1226-9565	Korean Journal of Early Childhood Education	Korean Society for Early Childhood Education
1226-9573	The Korean Journal of Local Government Studies	The Korean Association for Local Government Studies
1226-9654	Korean Journal of Cognitive and Biological Psychology	Korean Society For Cognitive and Biological Psychology
1226-9670	The New Studies of English Language & Literature	The New Association of English Language and Literature
1226-9689	Feminist Studies in English Literature	The Korean Association for Feminist Studies in English Literature
2287-6952,1226-9719	Journal of the Korean Association of Geographic Information Studies	The Korean Association of Geographic Information Studies
1226-9727	Korean Philosophical Society	Korean Philosophical Society
2288-3800,1226-9751	Journal of the Korean Society of Magnetic Resonance in Medicine	Korean Society of Magnetic Resonance in Medicine (KAMJE)
2287-8238,1226-9778	Journal of Korea Society for Plants People and Environment	"Korean Society for People, Plants and Environment"
1226-9859	Journal of Linguistic Studies	Korean Association of Language Studies
1226-9883	Journal of Fluid Machinery	Korean Society for Fluid machinery
1226-9913	Theses on Korean Literature	The Korean Literature Association
1226-9980	Journal of Studies on Korean National Movement	The Association for the Historical Studies on Korean National Movement
1227-1373	Economy and Society	Korean Critical Sociological Association
1227-7258	The Journal of Korean Institute of Educational Facilities	Korean Institute of Educational Facilities
1227-8181	Advertising Research	Korean Association for Advertising and Public Relations
1227-8823	Journal of Korean Language Education	Journal of Korean Language Education
1229-0033	Textile Coloration and Finishing	The Korean Society of Dyers and Finishers
2093-5633,1229-0114	Korean Journal of Pediatric Gastroenterology and Nutrition	"The Korean Society of Pediatric Gastroenterology, Hepatology and Nutrition (KAMJE)"
1229-0246	The Journal of Aesthetics & Science of Art	Korean Society of Aesthetics and Science of Art
1229-0297	Theological Perspective	Gwangju Catholic University Institute for Theology
2466-197X,1229-0335	The Korean Journal of Clinical Psychology	Korean Clinical Psychology Association
1229-0343	The Journal of Linguistics Science	The Linguistic Science Society
1229-0386	Journal of Consumption Culture	Korean Consumption Culture Association
1229-0394	Medieval and Early Modern English Studies	The Medieval and Early Modern English Studies Association of Korea
1229-0467	Journal of Korean Practical Arts Education	Korean Association of Practical Arts Education
2287-156X,1229-0475	The Journal of Korean Physical Therapy	The Korean Society of Physical Therapy
1229-0521	Korean Journal of Old Testament Studies	Korean Society of Old Testament Studies
1229-0580	The British and American Language and Literature Association of Korea	The British and American Language and Literature Association of Korea
1229-0661	THE KOREAN JOURNAL OF CULTURE AND SOCIAL ISSUES	Psychological Association of Culture and Social Issues
1229-067X	THE KOREAN JOURNAL OF PSYCHOLOGY GENERAL	Korean Psychological Association
1229-0688	THE KOREAN JOURNAL OF COUNSELING AND PSYCHOTHERAPY	Korea Counseling Psychological Association
1229-0696	The Korean Journal of Industrial and Organizational Psychology	Korean Society for Industrial and Organizational Psychology
1229-0726	The Korean Journal of Woman Psychology	The Korean Society for Woman Psychology
1229-0750	Journal of the Daedong Philosophical Association	Deadong Philosophical Association
1229-0807	Journal of Biomedical Engineering Research	The Korea Society of Medical and Biological Engineering
1229-0823	Korean Journal of Special Education	Korean Society of Special Education
2384-0153,1229-0858	Korean Journal of Play Therapy	The Korean Association for Play Therapy
1229-0882	Arabic Language&Literature	Korean Association of Arabic Language and Literature
1229-103X	The Journal of Risk Management	Korea Risk Management Society
1229-1056	러시아연구	"Institute for Russian, East European, and Eurasian Studies"
1229-1064	Geophysics and Geophysical Exploration	Korean Society of Earth and Exploration Geophysicists
2287-7797,1229-1137	The Acupuncture	Korean Acupuncture and Moxibustion Medicine Society
1229-1218	Herbal Formula Science	The Korean Academy of Oriental Medicne Prescription
1229-1234	Journal of Social Thoughts and Culture	Association of East Asian Social Thoughts
2287-6189,1229-1285	The Korean Journal of Hospice and Palliative Care	Korean Society for Hospice and Palliative Care
1229-1331	Journal of Korean Home Management Association	Korean Home Management Association
1229-1366	Journal of Korean Society of Transportation	Korean Society of Transportation
1229-1374	Linguistic Research	"Institute for the Study of Language and Information, Kyung Hee University"
1229-1390	Korea Presbyterian Journal of Theology	Center for Studies of Christian Thoughts and Culure
1229-1617	The Society for Korean Language & Literary Research	The Society for Korean Language and Literary Research
1229-1633	HEALTH AND SOCIAL SCIENCE	Korean Association of Health anad Medical Sociology
1229-1684	Journal of the Ergonomics Society of Korea	The Ergonomics Society of Korea
1229-1692	Korean Journal of Andrology	Korean Society for Sexual Medicine and Andrology (KAMJE)
1229-1730	Korean Language and Literature	Korean Language and Literature
1229-1757	Bilingual Research	The Korean Society of Bilingualism
1229-1765	The Korea Journal of Herbology	The Korea Association of Herbology
1229-1854	Journal of Korean Medicine Rehabilitation	The Society of Korean Medicine Rehabilitation
1229-1862	Korean Public Management Review	Korean Association for Public Management
2287-9005,1229-1889	Journal of the Korean society for quality management	The Korean Society for Quality Management
1229-1935	Journal of the Korean Electrochemical Society	The Korean Electrochemical Society
1229-1943	The Korean Poetics Studies	The Korean Poetics Studies Association
1229-201X	Journal of Industrial Economics and Business	The Korean Industrial Economic Association
2287-5743,1229-2060	Fashion & Textile Research Journal	The Korean Society for Clothing Industry
1229-2095	Journal of the Association of Western Art History	Association of Western Art History
1229-2117	DONAM OHMUNHAK	The Donam Language and Literature 
1229-2133	Mission and Theology	Center for World Mission
1229-2214	The Transactions of the Korean Institute of Power Electronics	The Korean Institute of Power Electrics
1229-2249	The Korean Society for Teaching English Literature	The Korean Society for Teaching English Literature
2288-1239,1229-2397	Journal of the Korean Geriatrics Society	The Korean Geriatrics Society (KAMJE)
1229-2427	Journal of the Korean Geotechnical Society	Korean Geotechnical Society
1229-2435	Journal of the Korean BIBLIA Society for library and Information Science	Korea Biblia Society for Library and Information Science
1229-2478	Kyung Hee Law Journal	"Institute of Legal Studies, Kyung Hee University"
1229-2532	Journal of the Korean Institute of Rural Architecture	Korean Institute of Rural Architecture
2289-0432,1229-2605	Korean Journal of Perinatology	Korean Society of Perinatology (KAMJE)
1229-2621	Journal of Korean Traditional Oncology	Korean Academy of Traditional Oncology
1229-2702	Journal of educational Research Institute	"Research Institute of Education Science, Jeju National University"
2384-1397,1229-2818	Journal of Plant Biotechnology	The Korean Society for Plant Biotechnology
1229-2869	Journal of Public Relations	Korean Academic Society for Public Relations
1229-2877	Journal of korean theatre studies association	Korean Theatre Studies Association
1229-2915	The Catholic Philosophy	The Korean Association of Catholic Philosophers
2288-3002,1229-294X	The Korean Journal of Rehabilitation Nursing	Korean Academic Society of Rehabilitation Nursing
1229-3008	Progress in Superconductivity and Cryogenics	The Korea Institute of Applied Superconductivity and Cryogenics
1229-3032	Journal of the Korea Society of Environmental Restoration Technology	The Korea Society of Environmental Restoration Technology
1229-3040	Mental Health & Social Work	Korea Academy of Mental Health Social Work
2287-2302,1229-3059	Journal of the Computational Structural Engineering Institute of Korea	The Computational Structural Engineering Institute
1229-3083	The Journal of Future Early Childhood Education	Association for Future Early Childhood Education
1229-3091	Environmental and Resource Economics Review	Korean Resource Economics Association
2383-9376,1229-313X	The Korean Journal of Psychodrama	Korea Association for Psychodrama and Sociodrama
1229-3148	Korean Development Economics Association	Korean Development Economics Association
1229-3172	Semiotic Inquiry	Korean Association for Semiotic Studies
1229-3180	Journal of Marketing Studies	Korean Strategic Marketing Association
1229-3199	The Oriental Studies	"Academy of Asian Studies, Dankook University"
1229-3202	The Journal of Curriculum Studies	The Korean Society for Curriculum Studies
1229-3245	Journal of the Korean Association of Information Education	Korean Association of Information Education
2508-7207,1229-327X	Korean Accounting Journal	Korean Accounting Association (KAA)
2508-7193,1229-3288	Korean Accounting Review	Korean Accounting Association (KAA)
1229-330X	The Bible & Theology	Korea Evangelical Theologial Society
1229-3342	Korean Journal of Accounting Research	Korean Academic Society of Accounting
1229-3350	Fashion business	The Korean Society of Fashion Business
1229-3393	KOREA INTERNATIONAL COMMERCIAL REVIEW	Korean Academy of Industrial Commerce
2287-3341,1229-3431	Journal of the Korean Society of Marine Environment and Safety	The Korean Society of Marine Environment and Safety
1229-3539	Korean Journal of Logistics	Korea Logistics Society
2287-819X,1229-3571	Korean Journal of Organic Agricultue	Korean Association of Organic Agriculture
1229-3687	The Korea-Japan Historical Review	The Korea-Japan Historical Society
1229-3741	Journal of the Korea Industrial Information Systems Research	The Korea Society for Industrial Systems
1229-375X	The Journal of Moral Education	The Korean Society for the Study of Moral Education
1229-3806	JOURNAL OF CHINESE STUDIES	Chinese Studies Institute
1229-3814	The Journal of Modern British & American Language & Literature	The Association of Modern British and American Language and Literature
1229-3903	Korean Comparative Education Society	Korean Comparative Education Society
1229-3911	The Journal of Anthropology of Education	The Korean Society for the Study of Anthropology of Education
1229-392X	The Institute for Education and Research Gyeongin National University of Education	The Institute for Education and Research Gyeongin National University of Education
1229-3954	Journal of Korean Acedemy of Dental Technology	Korean Academy of Dental Technology
1229-4039	Korean Journal of Linguistics	The Linguistic Society of Korea
1229-4101	Korean Journal of Stroke	Korean Stroke Society
1229-4128	Korean Journal of Health Education and Promotion	Korean Society for Health Education and Promotion
1229-4160	Journal of Chitin and Chitosan	Journal of Chitin and Chitosan
1229-4241	Journal of Governmental Studies(JGS)	Institute of Governmental Studies
1229-4292	The Journal of Korean Obstetrics and Gynecology	The Society of Korean Medicine Obstetrics and Gynecology
1229-4306	Journal of Dong-ak Language and Literature	Dong-ak Society of Language and Literature
1229-4373	The Studies in Korean Literature	Institute of Korean Literature Studies
1229-4381	American Studies	American Studies Institute
1229-4403	The Journal of Korea Real Estate Analysists Association	Korea Real Estate Analysts Association
1229-4411	Daedong Hanmun Association	Daedong Hanmun Association
1229-442X	East European and Balkan Institute	East European and Balkan Institute
1229-4446	SA-CHONG(sa)	Institute for the Study of History
1229-4454	Journal of Western Medieval History	The Korean Society for Western Medieval History
1229-4500	Korean Language Research	Korean Language Research Circle
1229-4543	Peace Studies	Korea University Peace and Democracy Institute
1229-456X	JOURNAL OF KOREAN MARKETING ASSOCIATION	Korean Marketing Association
1229-4578	kangwon Law Review	Kangwon National University Institute of Comparative Legal Studies
1229-4608	Journal of Korean Political and Diplomatic History	Korean Association for Political and Diplomatic History
1229-4616	Review of North Korean Studies	Institute for the Study of North Korean Life
1229-4632	Feminism and Korean Literature	Feminism and Korean Literature
2287-5034,1229-4691	Journal of the Korean Institute of Illuminating and Electrical Installation Engineers	The Korean Institute of Illuminating and Electrical Installation Engineers
1229-4705	Journal of Adolescent welfare	Korean Association of Youth Welfare
2288-1638,1229-4713	Korean Journal of Family Welfare	The Korean Family Welfare Association
1229-4756	Korean Public Administration Quarterly	Korean Association of Government Studies
2234-3261,1229-4802	The Korean Journal of Critical Care Medicine	The Korean Society of Critical Care Medicine
1229-4837	The Journal of Classical Studies	The Korean Association for the Western Ancient History and Culture
1229-4845	Journal of the Korean Society of Tribologists and Lubrication Engineers	The Korean Society of Tribologists and Lubrication Engineers
1229-4918	Japanese Cultural Studies	The Association of Japanology in East Asia
1229-5035	Studies in Confucianism	Confucianism Research Institute
1229-506X	Korean Political Science Review	Korean Political Science Association
1229-5086	The Korean Journal of Human Resource Development Quarterly	The Korean Society for Human Resource Development
1229-5132	Korean Journal of Social Welfare	Korean Academy of Social Welfare
1229-5183	Korean Society for Head and Neck Oncology	Korean Society for Head and Neck Oncology
1229-5213	Theology and Society	Academy for 21st Century Christian Society and Culture
2383-8086,1229-5299	Journal of Korean Gerontological Nursing	Korean Gerontological Nursing Society
1229-5310	Journal of Family Relations	Korean Association of Family Relations
1229-537X	Zeitschrift der Koreanisch-Deutschen Gesellschaft fuer Sozialwissenschaften	Koreanisch-Deutsche Gesellschaft fuer Sozlaiwssenschaften
1229-5418	The Korean Academy Of Oral & Maxillofacial Implantology	"Docuhut, Co., Ltd."
1229-5450	Pacific Science Review	Elsevier 
1229-5574	Etudes de la Culture Francaise et de Arts en France	Association D'Etudes De La Culture Francaise Et Des Arts En France
2288-7652,1229-5620	Literature and Religion	The Korean Society for Literature and Religion
1229-5671	Korean Journal of Agricultural and Forest Meteorology	Korean Society of Agricultural and Forest Meteorology
2093-4386,1229-5701	Journal of Korean Society of Spine Surgery	Korean Society of Spine Surgery (KAMJE)
1229-5930	Music and Culture	Korean Society of World Music
1229-5957	YANG-MING STUDIES	The Korea Society of Yang-Ming Studies
1229-5965	Journal of Eastern Philosophy	The Society of Eastern Philosophy
1229-6031	Journal of Wetlands Research	Korean Wetlands Society
1229-604X	Journal of the Korean Society of Mechanical Technology	Korean Society of Mechanical Technology
1229-6066	Jouranl of Korean Association of EMG Electrodiagnostic Medicine	Korean Association of EMG Electrodiagnostic Medicine
1229-6074	Interpretation and Translation	Korean Society of Interpretation and Translation Studies
1229-6147	The Journal of Korean Medical History	Korean Society of Medical History
1229-6163	Architectural research	Architectural Institute of Korea
1229-6252	The Journal for the Studies of Korean History	The Society for Studies of Korean History
1229-6309	Center for Japanese Studies Chung-ang University	The Center for Japanese Studies
1229-6341	Journal of Korean Association of Physical Education and Sport for Girls and Women	Korean Physical Education Association for Women
1229-6406	The Journal of Language & Literature	The Society of Chung-Ang Language and Literature
2288-1026,1229-6414	Korean Journal of Clinical Neurophysiology	The Korean Society of Clinical Neurophysiology (KAMJE)
1229-6422	Korean Journal of Air-Conditioning and Refrigeration Engineering	The Society of Air-Conditioning and Refrigeration Engineers of Korea
2466-040X,1229-6457	The Korean Journal of Vision Science	Korean Society of Vision Science
1229-6465	The Journal of Korean Büchner Society	Korean Buechner Society
2383-5699,1229-6538	Korean Journal of Clinical Geriatrics	The Korean Academy of Clinical Geriatrics
1229-6600	CHIYEOK KWA YEOKSA The Journal of Korean History	The Pukyung Institute for Korean History
1229-666X	The Journal of Contemporary Psychoanalysis	Korean Society for Lacan and Contemporary Psychoanalysis
1229-6740	Journal of Human Studies	Institute of Anthropology
1229-6775	The Korean Society of Beauty and Art	The Korean Society of Beauty and Art
1229-6783	Journal of the Korea Safety Management and Science	Korea Safety Management and Science
2287-7827,1229-6880	The Korean Society of Costume	The Korea Society of Costume
1229-6899	The Southeast Asian Review	Korean Association of Southeast Asian Studies
1229-6953	The Korean Folklore	The Society of Korean Folklore
1229-697X	ASSOCIATION CULTURELLE FRANC0-COREENNE	Association Culturelle Franco-Coreenne
1229-6988	Korean Journal of Youth Studies	Korea Youth Research Association
1229-7046	Latin American and Caribbean Studies	Institute of Latin American Studies
1229-7275	The Japanese Language Association Of Korea	The Japanese Language Association of Korea
1229-7291	Korean Association for Educational Information and Media	Korean Association for Educational Information and Media
1229-7429	The Studies of Korean Literature	The Studies of Korean Literature
1229-747X	Journal of Research in Art Education	Korean Society of Education Through Art
1229-7518	Journal of Association for Korean Public Administration History	Association for Korea Public Administration History
1229-7526	Korean Journal of Journalism & Communication Studies	Korean Society for Journalism and Communication Studies
1229-7542	Journal of Mediterranean Area Studies	Institute for Mediterranean Studies
2465-8200,1229-7577	Korean Society for Rehabilitation of Persons with Disabilities	Korean Society for Rehabilitation of Persons with Disabilities
1229-7593	Journal of Historical Theology	Korea Evangelical Historical Theological Society
1229-7607	Transactions on Electrical and Electronic Materials	The Korean Institute of Electrical and Electronic Material Engineers
1229-7690	journal of Ewha Music Research Institute	Ewha Music Research Institute
1229-781X	Journal of Christian Education in Korea	The Korean Society of Christian Religious Education
